NmeaType,Sequence,FrameID,RosStamp,TalkerID,MessageID,UTCTime,Latitude,LatitudeDirection,Longitude,LongtitudeDirection,QualityIndicator,NumSatellitesInUse,HDOP,Altitude,AltitudeUnit,GeoidSeparation,GeoidUnit,AgeOfDifferentialData,DifferentialReferenceStationID
GGA,936,gps,1697617203.039305,GN,GGA,082003.00,3446.45643,N,13530.70503,E,1,06,3.69,56.2,M,34.1,M,,
GGA,954,gps,1697617204.04635,GN,GGA,082004.00,3446.45654,N,13530.70546,E,1,06,3.69,56.2,M,34.1,M,,
GGA,972,gps,1697617205.039081,GN,GGA,082005.00,3446.45668,N,13530.70591,E,1,06,3.69,56.2,M,34.1,M,,
GGA,990,gps,1697617206.043345,GN,GGA,082006.00,3446.45684,N,13530.70637,E,1,06,3.69,56.2,M,34.1,M,,
GGA,1008,gps,1697617207.047721,GN,GGA,082007.00,3446.45700,N,13530.70677,E,1,06,3.69,56.2,M,34.1,M,,
GGA,1026,gps,1697617208.044905,GN,GGA,082008.00,3446.45716,N,13530.70718,E,1,06,3.69,56.2,M,34.1,M,,
GGA,1044,gps,1697617209.051809,GN,GGA,082009.00,3446.45732,N,13530.70757,E,1,06,3.69,56.4,M,34.1,M,,
GGA,1080,gps,1697617211.045556,GN,GGA,082011.00,3446.45768,N,13530.70837,E,1,06,3.69,56.6,M,34.1,M,,
GGA,1098,gps,1697617212.044611,GN,GGA,082012.00,3446.45784,N,13530.70884,E,1,06,3.69,56.7,M,34.1,M,,
GGA,1116,gps,1697617213.047712,GN,GGA,082013.00,3446.45801,N,13530.70930,E,1,06,3.69,56.7,M,34.1,M,,
GGA,1134,gps,1697617214.047823,GN,GGA,082014.00,3446.45821,N,13530.70977,E,1,06,3.69,56.8,M,34.1,M,,
GGA,1153,gps,1697617215.042458,GN,GGA,082015.00,3446.45842,N,13530.71022,E,1,06,3.69,56.8,M,34.1,M,,
GGA,1171,gps,1697617216.037503,GN,GGA,082016.00,3446.45861,N,13530.71066,E,1,06,3.69,56.8,M,34.1,M,,
GGA,1189,gps,1697617217.050664,GN,GGA,082017.00,3446.45876,N,13530.71115,E,1,06,3.69,56.8,M,34.1,M,,
GGA,1207,gps,1697617218.049674,GN,GGA,082018.00,3446.45870,N,13530.71171,E,1,07,3.16,55.3,M,34.1,M,,
GGA,1225,gps,1697617219.047397,GN,GGA,082019.00,3446.45872,N,13530.71222,E,1,07,3.16,54.0,M,34.1,M,,
GGA,1243,gps,1697617220.051373,GN,GGA,082020.00,3446.45872,N,13530.71274,E,1,07,3.16,52.7,M,34.1,M,,
GGA,1261,gps,1697617221.042293,GN,GGA,082021.00,3446.45872,N,13530.71333,E,1,07,3.16,51.7,M,34.1,M,,
GGA,1279,gps,1697617222.058334,GN,GGA,082022.00,3446.45878,N,13530.71388,E,1,07,3.16,50.7,M,34.1,M,,
GGA,1297,gps,1697617223.048809,GN,GGA,082023.00,3446.45887,N,13530.71440,E,1,07,3.16,49.8,M,34.1,M,,
GGA,1315,gps,1697617224.048015,GN,GGA,082024.00,3446.45898,N,13530.71492,E,1,07,3.16,49.2,M,34.1,M,,
GGA,1333,gps,1697617225.039705,GN,GGA,082025.00,3446.45912,N,13530.71541,E,1,07,3.16,48.5,M,34.1,M,,
GGA,1351,gps,1697617226.045787,GN,GGA,082026.00,3446.45923,N,13530.71597,E,1,07,3.16,47.9,M,34.1,M,,
GGA,1369,gps,1697617227.049598,GN,GGA,082027.00,3446.45935,N,13530.71647,E,1,07,3.16,47.2,M,34.1,M,,
GGA,1387,gps,1697617228.059519,GN,GGA,082028.00,3446.45946,N,13530.71699,E,1,07,3.16,46.6,M,34.1,M,,
