NmeaType,Sequence,FrameID,RosStamp,TalkerID,MessageID,UTCTime,Latitude,LatitudeDirection,Longitude,LongtitudeDirection,QualityIndicator,NumSatellitesInUse,HDOP,Altitude,AltitudeUnit,GeoidSeparation,GeoidUnit,AgeOfDifferentialData,DifferentialReferenceStationID
GGA,867,gps,1697615479.223547,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,879,gps,1697615480.216513,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,891,gps,1697615481.21964,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,903,gps,1697615482.220611,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,915,gps,1697615483.223589,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,927,gps,1697615484.21921,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,939,gps,1697615485.216527,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,951,gps,1697615486.21589,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,963,gps,1697615487.217792,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,975,gps,1697615488.2282,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,987,gps,1697615489.222892,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,999,gps,1697615490.218696,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,1011,gps,1697615491.223081,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,1023,gps,1697615492.223382,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,1035,gps,1697615493.222798,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,1047,gps,1697615494.227718,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,1059,gps,1697615495.227278,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,1071,gps,1697615496.224362,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,1083,gps,1697615497.220098,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,1095,gps,1697615498.221122,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,1107,gps,1697615499.22278,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,1119,gps,1697615500.223371,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,1131,gps,1697615501.223404,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,1143,gps,1697615502.220812,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,1155,gps,1697615503.221467,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,1167,gps,1697615504.21925,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,1179,gps,1697615505.223814,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,1191,gps,1697615506.221898,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,1203,gps,1697615507.2167,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,1215,gps,1697615508.216103,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,1227,gps,1697615509.216061,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,1239,gps,1697615510.216418,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,1251,gps,1697615511.224508,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,1263,gps,1697615512.215659,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,1275,gps,1697615513.216499,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,1287,gps,1697615514.21943,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,1299,gps,1697615515.221958,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,1311,gps,1697615516.22097,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,1323,gps,1697615517.219085,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,1335,gps,1697615518.21927,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,1347,gps,1697615519.223579,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,1359,gps,1697615520.217498,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,1371,gps,1697615521.222568,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,1383,gps,1697615522.223705,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,1395,gps,1697615523.215535,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,1407,gps,1697615524.220883,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,1419,gps,1697615525.215909,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,1431,gps,1697615526.21636,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,1443,gps,1697615527.215774,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,1455,gps,1697615528.220969,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,1467,gps,1697615529.219923,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,1479,gps,1697615530.222271,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,1491,gps,1697615531.215948,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,1503,gps,1697615532.216437,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,1515,gps,1697615533.223502,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,1527,gps,1697615534.219646,GN,GGA,,,,,,0,00,99.99,,,,,,
