Topic,FrameID,RosStamp,Latitude,Longitude,Altitude,NavSatStatus,SatelliteSystem,PositionCovarianceType,PositionCovariance
gps/filtered,base_link,1697615856.951279,34.774026667226394,135.5116554782629,96.9824446795529,STATUS_GBAS_FIX,SERVICE_GLONASS,COVARIANCE_TYPE_KNOWN,"[[857.699968792 ,1618.93504114 ,0.000361078334283], [1618.93504114 ,7231.83992855 ,-0.000308161173106], [0.000361078334283 ,-0.000308161173106 ,0.452266467818]]"
gps/filtered,base_link,1697615857.0183585,34.77402666667284,135.51165547990638,96.98244459075077,STATUS_GBAS_FIX,SERVICE_GLONASS,COVARIANCE_TYPE_KNOWN,"[[24.1984301369 ,0.275741652984 ,2.08854314211e-05], [0.275741652984 ,25.2841098259 ,-5.72871504742e-06], [2.08854314211e-05 ,-5.72871504742e-06 ,0.452333493984]]"
gps/filtered,base_link,1697615857.0530622,34.77402666634386,135.51165547941645,96.98244275517126,STATUS_GBAS_FIX,SERVICE_GLONASS,COVARIANCE_TYPE_KNOWN,"[[24.2331344714 ,0.275739592926 ,2.08200698087e-05], [0.275739592926 ,25.3188141737 ,-5.69087958802e-06], [2.08200698087e-05 ,-5.69087958802e-06 ,0.452368408862]]"
gps/filtered,base_link,1697615857.0855606,34.774026666836214,135.51165548011627,96.98244216500504,STATUS_GBAS_FIX,SERVICE_GLONASS,COVARIANCE_TYPE_KNOWN,"[[24.2656267621 ,0.275723621372 ,2.08132988739e-05], [0.275723621372 ,25.3513598909 ,-5.68999516944e-06], [2.08132988739e-05 ,-5.68999516944e-06 ,0.452400921357]]"
gps/filtered,base_link,1697615857.1177433,34.77402666684034,135.51165548011917,96.98244143233715,STATUS_GBAS_FIX,SERVICE_GLONASS,COVARIANCE_TYPE_KNOWN,"[[24.2978100605 ,0.275723554587 ,2.07792496792e-05], [0.275723554587 ,25.3835453426 ,-5.66882023515e-06], [2.07792496792e-05 ,-5.66882023515e-06 ,0.452433217223]]"
gps/filtered,base_link,1697615857.186461,34.77402666683808,135.511655480119,96.98244145187022,STATUS_GBAS_FIX,SERVICE_GLONASS,COVARIANCE_TYPE_KNOWN,"[[24.3665302232 ,0.275724660893 ,2.06687450517e-05], [0.275724660893 ,25.4522669311 ,-5.6011951024e-06], [2.06687450517e-05 ,-5.6011951024e-06 ,0.452502300223]]"
gps/filtered,base_link,1697615857.2524612,34.77402666683799,135.51165548012017,96.98244075818864,STATUS_GBAS_FIX,SERVICE_GLONASS,COVARIANCE_TYPE_KNOWN,"[[24.4325321094 ,0.275725836541 ,2.06030633192e-05], [0.275725836541 ,25.5182698592 ,-5.56426709205e-06], [2.06030633192e-05 ,-5.56426709205e-06 ,0.452568509537]]"
gps/filtered,base_link,1697615857.2855053,34.77402666683871,135.51165548012133,96.98244073256272,STATUS_GBAS_FIX,SERVICE_GLONASS,COVARIANCE_TYPE_KNOWN,"[[24.4655772267 ,0.275726725402 ,2.05644424167e-05], [0.275726725402 ,25.5513156488 ,-5.54077144682e-06], [2.05644424167e-05 ,-5.54077144682e-06 ,0.452601680815]]"
gps/filtered,base_link,1697615857.3169906,34.774026666841195,135.5116554801208,96.98243945456365,STATUS_GBAS_FIX,SERVICE_GLONASS,COVARIANCE_TYPE_KNOWN,"[[24.4970633074 ,0.275727036094 ,2.05310400543e-05], [0.275727036094 ,25.5828018601 ,-5.52348782309e-06], [2.05310400543e-05 ,-5.52348782309e-06 ,0.452633269189]]"
gps/filtered,base_link,1697615857.3514304,34.774026666845614,135.5116554801225,96.98243960256339,STATUS_GBAS_FIX,SERVICE_GLONASS,COVARIANCE_TYPE_KNOWN,"[[24.5315036403 ,0.275726788349 ,2.04982308079e-05], [0.275726788349 ,25.6172438111 ,-5.50469177383e-06], [2.04982308079e-05 ,-5.50469177383e-06 ,0.452667813825]]"
gps/filtered,base_link,1697615857.4176571,34.77402666684623,135.51165548012858,96.9824391342255,STATUS_GBAS_FIX,SERVICE_GLONASS,COVARIANCE_TYPE_KNOWN,"[[24.5977325619 ,0.275727285158 ,2.03885509932e-05], [0.275727285158 ,25.6834763117 ,-5.4351828026e-06], [2.03885509932e-05 ,-5.4351828026e-06 ,0.452734407748]]"
gps/filtered,base_link,1697615857.4838467,34.774026666843774,135.5116554801316,96.98243782974659,STATUS_GBAS_FIX,SERVICE_GLONASS,COVARIANCE_TYPE_KNOWN,"[[24.6639236698 ,0.275728091125 ,2.03211370927e-05], [0.275728091125 ,25.7496685168 ,-5.3976373086e-06], [2.03211370927e-05 ,-5.3976373086e-06 ,0.452800812097]]"
gps/filtered,base_link,1697615857.5180988,34.774026666841685,135.51165548013324,96.98243787600914,STATUS_GBAS_FIX,SERVICE_GLONASS,COVARIANCE_TYPE_KNOWN,"[[24.6981767601 ,0.275728716765 ,2.02830357458e-05], [0.275728716765 ,25.783922399 ,-5.37470717232e-06], [2.02830357458e-05 ,-5.37470717232e-06 ,0.452835188856]]"
gps/filtered,base_link,1697615857.5529776,34.77402666684486,135.51165548013927,96.98243604794472,STATUS_GBAS_FIX,SERVICE_GLONASS,COVARIANCE_TYPE_KNOWN,"[[24.7330566529 ,0.275728631594 ,2.02204683594e-05], [0.275728631594 ,25.8188036296 ,-5.33617514072e-06], [2.02204683594e-05 ,-5.33617514072e-06 ,0.452870274369]]"
gps/filtered,base_link,1697615857.5855312,34.774026666835006,135.51165548014333,96.98243745713786,STATUS_GBAS_FIX,SERVICE_GLONASS,COVARIANCE_TYPE_KNOWN,"[[24.7656117465 ,0.275730305141 ,2.01726497285e-05], [0.275730305141 ,25.8513590398 ,-5.30487576251e-06], [2.01726497285e-05 ,-5.30487576251e-06 ,0.45290299114]]"
