Topic,FrameID,RosStamp,Latitude,Longitude,Altitude,NavSatStatus,SatelliteSystem,PositionCovarianceType,PositionCovariance
fix,gps,1697617172.046892,nan,nan,nan,STATUS_NO_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[34.4569 ,0.0 ,0.0], [0.0 ,34.4569 ,0.0], [0.0 ,0.0 ,137.8276]]"
fix,gps,1697617173.041913,nan,nan,nan,STATUS_NO_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[34.5744 ,0.0 ,0.0], [0.0 ,34.5744 ,0.0], [0.0 ,0.0 ,138.2976]]"
fix,gps,1697617174.047585,nan,nan,nan,STATUS_NO_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[34.5744 ,0.0 ,0.0], [0.0 ,34.5744 ,0.0], [0.0 ,0.0 ,138.2976]]"
fix,gps,1697617175.048093,nan,nan,nan,STATUS_NO_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[34.5744 ,0.0 ,0.0], [0.0 ,34.5744 ,0.0], [0.0 ,0.0 ,138.2976]]"
fix,gps,1697617176.052245,nan,nan,nan,STATUS_NO_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[34.5744 ,0.0 ,0.0], [0.0 ,34.5744 ,0.0], [0.0 ,0.0 ,138.2976]]"
fix,gps,1697617177.046379,nan,nan,nan,STATUS_NO_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[34.5744 ,0.0 ,0.0], [0.0 ,34.5744 ,0.0], [0.0 ,0.0 ,138.2976]]"
fix,gps,1697617178.046636,nan,nan,nan,STATUS_NO_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[34.5744 ,0.0 ,0.0], [0.0 ,34.5744 ,0.0], [0.0 ,0.0 ,138.2976]]"
fix,gps,1697617179.043508,nan,nan,nan,STATUS_NO_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[34.5744 ,0.0 ,0.0], [0.0 ,34.5744 ,0.0], [0.0 ,0.0 ,138.2976]]"
fix,gps,1697617180.041761,nan,nan,nan,STATUS_NO_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[34.5744 ,0.0 ,0.0], [0.0 ,34.5744 ,0.0], [0.0 ,0.0 ,138.2976]]"
fix,gps,1697617181.052558,nan,nan,nan,STATUS_NO_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[34.5744 ,0.0 ,0.0], [0.0 ,34.5744 ,0.0], [0.0 ,0.0 ,138.2976]]"
fix,gps,1697617182.043248,nan,nan,nan,STATUS_NO_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[34.5744 ,0.0 ,0.0], [0.0 ,34.5744 ,0.0], [0.0 ,0.0 ,138.2976]]"
fix,gps,1697617183.035942,nan,nan,nan,STATUS_NO_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[34.5744 ,0.0 ,0.0], [0.0 ,34.5744 ,0.0], [0.0 ,0.0 ,138.2976]]"
fix,gps,1697617184.041259,nan,nan,nan,STATUS_NO_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[34.5744 ,0.0 ,0.0], [0.0 ,34.5744 ,0.0], [0.0 ,0.0 ,138.2976]]"
fix,gps,1697617185.047435,34.77427133333333,135.51174033333334,90.2,STATUS_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[13.6161 ,0.0 ,0.0], [0.0 ,13.6161 ,0.0], [0.0 ,0.0 ,54.4644]]"
fix,gps,1697617186.048235,34.774271666666664,135.51174,90.30000000000001,STATUS_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[13.6161 ,0.0 ,0.0], [0.0 ,13.6161 ,0.0], [0.0 ,0.0 ,54.4644]]"
fix,gps,1697617187.041154,34.77427183333333,135.5117405,90.30000000000001,STATUS_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[13.6161 ,0.0 ,0.0], [0.0 ,13.6161 ,0.0], [0.0 ,0.0 ,54.4644]]"
fix,gps,1697617188.04452,34.77427183333333,135.511741,90.4,STATUS_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[13.6161 ,0.0 ,0.0], [0.0 ,13.6161 ,0.0], [0.0 ,0.0 ,54.4644]]"
fix,gps,1697617189.039086,34.77427183333333,135.51174133333333,90.5,STATUS_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[13.6161 ,0.0 ,0.0], [0.0 ,13.6161 ,0.0], [0.0 ,0.0 ,54.4644]]"
fix,gps,1697617190.054118,34.77427133333333,135.511742,90.4,STATUS_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[13.6161 ,0.0 ,0.0], [0.0 ,13.6161 ,0.0], [0.0 ,0.0 ,54.4644]]"
